Date,transactions,cheque_no,debit,credit,balance
11/27/2020,BY TRANSFER-INB Deposit Withdrawal Transfer Payment acjcum09AG,"GRPT OUTB:
MP6RHESQ4B10
TRANSFER TO
5913026051242
M/S PAYTM
COMMISSION A/C
fjllmQh5Up",528.18,627.95,2296.21
07/28/2020,TO TRANSFER-INB Deposit Payment Withdrawal qfa9wWateJ,"GRPT OUTB:
HBTEPGJL5J51
TRANSFER FROM
4218248286607
IRCTC POOL
ACCOUNT
INaK3SbfiN",2568.84,2983.2,3646.94
06/10/2020,BY TRANSFER-INB Deposit Withdrawal Transfer Payment nkSTw2y3dD,"GRPT INB:
MSBJOF4FZU23
TRANSFER TO
1267274266046
IRCTC POOL
COMMISSION A/C
ct9lpkuUpg",823.22,1768.45,4493.96
06/06/2020,TO TRANSFER-INB Transfer Withdrawal Payment Deposit FDISI5Z6MI,"GRPT INB:
UJOMNNS65Z12
TRANSFER TO
2873509775036
IRCTC POOL
COMMISSION A/C
LKdAsyTcI4",521.12,2198.14,6203.48
10/07/2020,TO TRANSFER-INB Transfer Deposit Payment Withdrawal RbdRC11lNv,"GRPT OUTB:
ROGEIGY2TX24
TRANSFER FROM
3401823897193
M/S PAYTM
ACCOUNT
84jr6lRmux",1641.91,1819.43,527.29
09/23/2020,TO TRANSFER-INB Transfer Payment Withdrawal Deposit g3rxRIrVfa,"GRPT INB:
S8IE159WCM02
TRANSFER TO
8725730198425
IRCTC POOL
ACCOUNT
7Wl5YPaTv6",511.18,979.94,3751.8
09/14/2020,BY TRANSFER-INB Transfer Withdrawal Deposit Payment 4fNgCO2KyC,"GRPT OUTB:
GB7L93OEB817
TRANSFER FROM
9802813926517
M/S PAYTM
COMMISSION A/C
ZbLLPgy3wS",2661.55,2975.88,7115.98
01/18/2020,TO TRANSFER-INB Payment Transfer Deposit Withdrawal JeyMbelgqn,"GRPT INB:
XQ44VSFKGK80
TRANSFER TO
0067486681045
IRCTC POOL
COMMISSION A/C
Ld5zdESXYQ",262.17,2644.75,7034.96
09/28/2020,TO TRANSFER-INB Deposit Payment Withdrawal Transfer vhP0X6NKN5,"GRPT INB:
VVW9ACD4PN34
TRANSFER TO
6817150367858
M/S PAYTM
COMMISSION A/C
8YEmJ0nT7i",167.46,361.36,4267.32
08/28/2020,TO TRANSFER-INB Withdrawal Transfer Payment Deposit SbhNK19eHm,"GRPT INB:
8BIU25WHFH83
TRANSFER TO
2389814024007
IRCTC POOL
COMMISSION A/C
BlM74KcPQu",503.49,2360.69,175.73
06/26/2020,TO TRANSFER-INB Transfer Payment Deposit Withdrawal s2s5ccNoNf,"GRPT INB:
CRO2PB18DN50
TRANSFER TO
4359246184410
IRCTC POOL
ACCOUNT
pTahPqSKeU",2710.68,1386.07,619.62
10/08/2020,TO TRANSFER-INB Transfer Withdrawal Deposit Payment 8mlpvTMzK0,"GRPT INB:
I895RJU4PM07
TRANSFER FROM
7512354914904
M/S PAYTM
COMMISSION A/C
clCNk8PTx6",189.06,197.27,6799.1
10/20/2020,BY TRANSFER-INB Withdrawal Transfer Deposit Payment PfDxI7Y3qi,"GRPT OUTB:
V4RL562MTC24
TRANSFER FROM
9194111023503
IRCTC POOL
ACCOUNT
MjCUZsMq8f",2994.34,1288.35,6245.92
06/12/2020,TO TRANSFER-INB Payment Transfer Withdrawal Deposit rq4JNNEWXf,"GRPT OUTB:
M67OS7K2BA88
TRANSFER FROM
7498272756921
M/S PAYTM
ACCOUNT
yF4uaGHTVW",1720.22,873.44,3009.34
12/07/2020,BY TRANSFER-INB Deposit Transfer Payment Withdrawal 5yNTq6VlQT,"GRPT INB:
WWG4MKVXZG15
TRANSFER TO
7253895720528
IRCTC POOL
COMMISSION A/C
VIKvYnHRJW",2863.55,1643.96,1257.44
